date,state,county,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,latitude,longitude,Population_Density
2024-01-04,North Carolina,Mecklenburg,5.3,59.458333,6.375,10.666667,8.868182,0.121739,0.225375,35.2401,-80.785683,173.36373022963411
2024-01-07,North Carolina,Mecklenburg,8.3,65.583333,2.916667,5.958333,3.820833,0.033333,0.189957,35.2401,-80.785683,173.36373022963411
2024-01-10,North Carolina,Mecklenburg,6.6,61.125,2.0,7.238095,3.85,0.004348,0.184042,35.2401,-80.785683,173.36373022963411
2024-01-13,North Carolina,Mecklenburg,7.9,59.458333,5.125,9.375,3.875,0.029167,0.189739,35.2401,-80.785683,173.36373022963411
2024-01-16,North Carolina,Mecklenburg,2.6,71.25,8.5,11.416667,9.254545,0.19,0.230286,35.2401,-80.785683,173.36373022963411
2024-01-19,North Carolina,Mecklenburg,5.1,50.375,6.208333,12.166667,5.383333,0.083333,0.196609,35.2401,-80.785683,173.36373022963411
2024-01-22,North Carolina,Mecklenburg,1.7,50.708333,15.791667,20.916667,19.895455,0.734783,0.668417,35.2401,-80.785683,173.36373022963411
2024-02-03,North Carolina,Mecklenburg,7.4,54.75,6.208333,11.083333,10.054545,0.243478,0.30575,35.2401,-80.785683,173.36373022963411
2024-02-06,North Carolina,Mecklenburg,6.8,48.458333,7.409091,13.454545,10.075,0.225,0.211739,35.2401,-80.785683,173.36373022963411
2024-02-09,North Carolina,Mecklenburg,10.3,64.333333,14.375,22.875,14.045455,0.273913,0.263208,35.2401,-80.785683,173.36373022963411
2024-02-12,North Carolina,Mecklenburg,13.7,95.291667,1.875,3.416667,7.895833,0.020833,0.161435,35.2401,-80.785683,173.36373022963411
2024-02-15,North Carolina,Mecklenburg,11.3,50.958333,7.375,11.5,13.240909,0.225,0.343083,35.2401,-80.785683,173.36373022963411
2024-02-18,North Carolina,Mecklenburg,3.3,46.208333,6.0,7.25,6.6375,0.079167,0.209174,35.2401,-80.785683,173.36373022963411
2024-02-21,North Carolina,Mecklenburg,7.6,54.083333,13.25,22.458333,12.159091,0.408696,0.307542,35.2401,-80.785683,173.36373022963411
2024-02-24,North Carolina,Mecklenburg,9.0,50.875,3.958333,6.833333,6.9,0.129167,0.204696,35.2401,-80.785683,173.36373022963411
2024-02-27,North Carolina,Mecklenburg,13.8,71.041667,14.333333,20.083333,2.783333,0.3,0.211208,35.2401,-80.785683,173.36373022963411
2024-03-01,North Carolina,Mecklenburg,5.5,73.083333,7.916667,10.291667,8.025,0.175,0.249478,35.2401,-80.785683,173.36373022963411
2024-03-04,North Carolina,Mecklenburg,14.5,79.208333,9.875,13.375,8.745455,0.178261,0.333625,35.2401,-80.785683,173.36373022963411
2024-03-07,North Carolina,Mecklenburg,16.0,75.541667,3.958333,7.5,5.470833,0.045833,0.22,35.2401,-80.785683,173.36373022963411
2024-03-10,North Carolina,Mecklenburg,10.8,45.375,1.708333,3.916667,1.454545,0.0,0.155458,35.2401,-80.785683,173.36373022963411
2024-03-13,North Carolina,Mecklenburg,15.7,39.083333,12.375,21.041667,10.195833,0.3125,0.29787,35.2401,-80.785683,173.36373022963411
2024-03-16,North Carolina,Mecklenburg,17.6,68.791667,10.375,13.541667,5.390909,0.186957,0.305083,35.2401,-80.785683,173.36373022963411
2024-03-19,North Carolina,Mecklenburg,7.3,36.208333,3.875,8.791667,4.2375,0.020833,0.17113,35.2401,-80.785683,173.36373022963411
2024-03-22,North Carolina,Mecklenburg,12.0,80.5,13.5,23.083333,3.868182,0.208696,0.218083,35.2401,-80.785683,173.36373022963411
2024-03-25,North Carolina,Mecklenburg,9.2,52.041667,11.416667,16.75,3.170833,0.158333,0.202739,35.2401,-80.785683,173.36373022963411
2024-03-28,North Carolina,Mecklenburg,13.9,56.208333,3.333333,6.125,2.409091,0.03913,0.172211,35.2401,-80.785683,173.36373022963411
2024-03-31,North Carolina,Mecklenburg,20.4,44.791667,10.833333,18.75,2.275,0.154167,0.210174,35.2401,-80.785683,173.36373022963411
2024-04-03,North Carolina,Mecklenburg,18.7,57.75,3.375,12.0,1.1,0.004348,0.16275,35.2401,-80.785683,173.36373022963411
2024-04-06,North Carolina,Mecklenburg,11.0,41.291667,0.791667,6.0,2.3875,0.0375,0.169957,35.2401,-80.785683,173.36373022963411
2024-04-09,North Carolina,Mecklenburg,14.3,86.833333,7.708333,12.541667,4.240909,0.043478,0.2235,35.2401,-80.785683,173.36373022963411
2024-04-12,North Carolina,Mecklenburg,14.9,53.208333,2.333333,13.791667,2.0375,0.004167,0.15387,35.2401,-80.785683,173.36373022963411
2024-04-15,North Carolina,Mecklenburg,22.7,45.166667,10.666667,23.75,3.595,0.217391,0.235167,35.2401,-80.785683,173.36373022963411
2024-04-18,North Carolina,Mecklenburg,23.0,51.125,7.166667,20.0,7.591667,0.191667,0.246957,35.2401,-80.785683,173.36373022963411
2024-04-21,North Carolina,Mecklenburg,11.2,79.125,2.875,9.083333,2.859091,0.026087,0.191417,35.2401,-80.785683,173.36373022963411
2024-04-24,North Carolina,Mecklenburg,15.9,57.166667,9.5,18.291667,5.666667,0.1375,0.235522,35.2401,-80.785683,173.36373022963411
2024-04-27,North Carolina,Mecklenburg,19.8,65.375,6.916667,17.041667,1.7,0.043478,0.177083,35.2401,-80.785683,173.36373022963411
2024-04-30,North Carolina,Mecklenburg,20.2,72.541667,6.217391,18.521739,3.358333,0.054167,0.177217,35.2401,-80.785683,173.36373022963411
2024-05-03,North Carolina,Mecklenburg,23.2,69.041667,9.916667,19.666667,4.918182,0.208696,0.241083,35.2401,-80.785683,173.36373022963411
2024-05-06,North Carolina,Mecklenburg,21.9,83.5,5.434783,11.391304,2.470833,0.033333,0.200565,35.2401,-80.785683,173.36373022963411
2024-05-09,North Carolina,Mecklenburg,20.1,84.708333,1.833333,7.666667,2.859091,0.004348,0.190727,35.2401,-80.785683,173.36373022963411
2024-05-12,North Carolina,Mecklenburg,19.9,54.958333,6.333333,17.125,5.520833,0.179167,0.265522,35.2401,-80.785683,173.36373022963411
2024-05-15,North Carolina,Mecklenburg,19.5,91.291667,2.041667,8.666667,4.863636,0.030435,0.232958,35.2401,-80.785683,173.36373022963411
2024-05-18,North Carolina,Mecklenburg,22.3,78.041667,2.958333,8.25,1.604167,0.0,0.203696,35.2401,-80.785683,173.36373022963411
2024-05-21,North Carolina,Mecklenburg,23.0,63.833333,6.958333,14.25,4.55,0.230435,0.269333,35.2401,-80.785683,173.36373022963411
2024-05-24,North Carolina,Mecklenburg,25.3,64.833333,5.583333,10.833333,6.513636,0.217391,0.246696,35.2401,-80.785683,173.36373022963411
2024-05-27,North Carolina,Mecklenburg,25.6,65.875,5.791667,10.833333,1.786364,0.104167,0.185333,35.2401,-80.785683,173.36373022963411
2024-05-30,North Carolina,Mecklenburg,21.5,48.666667,4.875,9.625,4.658333,0.082609,0.17613,35.2401,-80.785683,173.36373022963411
2024-06-02,North Carolina,Mecklenburg,21.8,72.125,7.125,10.958333,1.436364,0.2375,0.163042,35.2401,-80.785683,173.36373022963411
2024-06-08,North Carolina,Mecklenburg,25.2,44.708333,6.208333,29.0,3.25,0.173913,0.182708,35.2401,-80.785683,173.36373022963411
2024-06-11,North Carolina,Mecklenburg,23.1,60.333333,9.0,28.333333,4.766667,0.216667,0.210217,35.2401,-80.785683,173.36373022963411
2024-06-14,North Carolina,Mecklenburg,27.5,54.708333,11.666667,20.291667,4.154167,0.25,0.238292,35.2401,-80.785683,173.36373022963411
2024-06-17,North Carolina,Mecklenburg,26.8,68.291667,8.666667,18.833333,2.458333,0.083333,0.189833,35.2401,-80.785683,173.36373022963411
2024-06-20,North Carolina,Mecklenburg,25.6,61.208333,7.375,17.208333,3.263636,0.158333,0.171208,35.2401,-80.785683,173.36373022963411
2024-06-23,North Carolina,Mecklenburg,29.3,61.208333,6.625,9.833333,1.433333,0.116667,0.142913,35.2401,-80.785683,173.36373022963411
2024-06-26,North Carolina,Mecklenburg,30.1,59.208333,13.666667,23.625,2.668182,0.208696,0.204913,35.2401,-80.785683,173.36373022963411
2024-06-29,North Carolina,Mecklenburg,29.6,61.875,6.208333,14.583333,1.533333,0.091667,0.15787,35.2401,-80.785683,173.36373022963411
